eventid,src_ip,src_port,dst_ip,dst_port,session,protocol,version,hassh,hasshAlgorithms,message,sensor,timestamp
cowrie.session.connect,122.3.192.83,38566,172.233.154.19,2222,26f37fada091,ssh,,,,New connection: 122.3.192.83:38566 (172.233.154.19:2222) [session: 26f37fada091],localhost,2024-10-06T19:28:05.155080Z
cowrie.client.version,122.3.192.83,,,,26f37fada091,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:28:05.155745Z
cowrie.client.kex,122.3.192.83,,,,26f37fada091,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:28:05.332549Z
cowrie.login.failed,122.3.192.83,,,,26f37fada091,,,,,login attempt [ubuntu/ubuntupassword] failed,localhost,2024-10-06T19:28:06.079590Z
cowrie.session.closed,122.3.192.83,,,,26f37fada091,,,,,Connection lost after 2 seconds,localhost,2024-10-06T19:28:07.258533Z
cowrie.session.connect,121.14.12.136,55716,172.233.154.19,2222,fb302e8d2d9a,ssh,,,,New connection: 121.14.12.136:55716 (172.233.154.19:2222) [session: fb302e8d2d9a],localhost,2024-10-06T19:29:19.607382Z
cowrie.client.version,121.14.12.136,,,,fb302e8d2d9a,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:29:19.608658Z
cowrie.client.kex,121.14.12.136,,,,fb302e8d2d9a,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:29:19.784681Z
cowrie.login.failed,121.14.12.136,,,,fb302e8d2d9a,,,,,login attempt [postgres/postgrespassword] failed,localhost,2024-10-06T19:29:20.470017Z
cowrie.session.closed,121.14.12.136,,,,fb302e8d2d9a,,,,,Connection lost after 2 seconds,localhost,2024-10-06T19:29:21.647431Z
cowrie.session.connect,101.91.162.18,57104,172.233.154.19,2222,e96f2dea24d2,ssh,,,,New connection: 101.91.162.18:57104 (172.233.154.19:2222) [session: e96f2dea24d2],localhost,2024-10-06T19:29:33.994069Z
cowrie.client.version,101.91.162.18,,,,e96f2dea24d2,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:29:34.002944Z
cowrie.client.kex,101.91.162.18,,,,e96f2dea24d2,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:29:34.142741Z
cowrie.login.failed,101.91.162.18,,,,e96f2dea24d2,,,,,login attempt [steam/1234567890] failed,localhost,2024-10-06T19:29:34.714048Z
cowrie.session.closed,101.91.162.18,,,,e96f2dea24d2,,,,,Connection lost after 1 seconds,localhost,2024-10-06T19:29:35.859908Z
cowrie.session.connect,185.81.30.83,58664,172.233.154.19,2222,fe721ab25c55,ssh,,,,New connection: 185.81.30.83:58664 (172.233.154.19:2222) [session: fe721ab25c55],localhost,2024-10-06T19:30:15.004056Z
cowrie.client.version,185.81.30.83,,,,fe721ab25c55,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:30:15.004697Z
cowrie.client.kex,185.81.30.83,,,,fe721ab25c55,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:30:15.044612Z
cowrie.login.failed,185.81.30.83,,,,fe721ab25c55,,,,,login attempt [postgres/a1b2c3] failed,localhost,2024-10-06T19:30:15.249452Z
cowrie.session.closed,185.81.30.83,,,,fe721ab25c55,,,,,Connection lost after 1 seconds,localhost,2024-10-06T19:30:16.291314Z
cowrie.session.connect,178.128.52.124,56318,172.233.154.19,2222,ad9330021590,ssh,,,,New connection: 178.128.52.124:56318 (172.233.154.19:2222) [session: ad9330021590],localhost,2024-10-06T19:32:06.270064Z
cowrie.client.version,178.128.52.124,,,,ad9330021590,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:32:06.270769Z
cowrie.client.kex,178.128.52.124,,,,ad9330021590,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:32:06.449803Z
cowrie.login.success,178.128.52.124,,,,ad9330021590,,,,,login attempt [root/123456##] succeeded,localhost,2024-10-06T19:32:07.205564Z
cowrie.session.params,178.128.52.124,,,,ad9330021590,,,,,[],localhost,2024-10-06T19:32:07.588463Z
cowrie.command.input,178.128.52.124,,,,ad9330021590,,,,,CMD: cd ~; chattr -ia .ssh; lockr -ia .ssh,localhost,2024-10-06T19:32:07.588945Z
cowrie.command.failed,178.128.52.124,,,,ad9330021590,,,,,Command not found: lockr -ia .ssh,localhost,2024-10-06T19:32:07.589974Z
cowrie.log.closed,178.128.52.124,,,,ad9330021590,,,,,Closing TTY Log: var/lib/cowrie/tty/c32b4937ce8564ea904a3bd2cb64805500ddfd28952a90fd55cb3c85d0be7644 after 0 seconds,localhost,2024-10-06T19:32:07.989149Z
cowrie.session.params,178.128.52.124,,,,ad9330021590,,,,,[],localhost,2024-10-06T19:32:08.193340Z
cowrie.command.input,178.128.52.124,,,,ad9330021590,,,,,"CMD: cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1+5O73fcBOx8NVbUT0bUanUV9tJ2/9p7+vD0EpZ3Tz/+0kX34uAx1RV/75GVOmNx+9EuWOnvNoaJe0QXxziIg9eLBHpgLMuakb5+BgTFB+rKJAw9u9FSTDengvS8hX1kNFS4Mjux0hJOK8rvcEmPecjdySYMb66nylAKGwCEE6WEQHmd1mUPgHwGQ0hWCwsQk13yCGPK5w6hYp5zYkFnvlC8hGmd4Ww+u97k6pfTGTUbJk14ujvcD9iUKQTTWYYjIIu5PmUux5bsZ0R4WFwdIe6+i6rBLAsPKgAySVKPRK+oRw== mdrfckr"">>.ssh/authorized_keys && chmod -R go= ~/.ssh && cd ~",localhost,2024-10-06T19:32:08.193747Z
cowrie.session.file_download,178.128.52.124,,,,ad9330021590,,,,,Saved redir contents with SHA-256 a8460f446be540410004b1a8db4083773fa46f7fe76fa84219c93daa1669f8f2 to var/lib/cowrie/downloads/a8460f446be540410004b1a8db4083773fa46f7fe76fa84219c93daa1669f8f2,localhost,2024-10-06T19:32:08.375905Z
cowrie.log.closed,178.128.52.124,,,,ad9330021590,,,,,Closing TTY Log: var/lib/cowrie/tty/cc1eb03e9b5926d8076e25826664a04400de854bf5cc660fa35eb86cbdf7dc0f after 0 seconds,localhost,2024-10-06T19:32:08.376414Z
cowrie.session.connect,178.128.52.124,56324,172.233.154.19,2222,e3fc9db28ebf,ssh,,,,New connection: 178.128.52.124:56324 (172.233.154.19:2222) [session: e3fc9db28ebf],localhost,2024-10-06T19:32:08.583179Z
cowrie.client.version,178.128.52.124,,,,e3fc9db28ebf,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:32:08.583795Z
cowrie.client.kex,178.128.52.124,,,,e3fc9db28ebf,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:32:08.771066Z
cowrie.login.failed,178.128.52.124,,,,e3fc9db28ebf,,,,,login attempt [345gs5662d34/345gs5662d34] failed,localhost,2024-10-06T19:32:09.561308Z
cowrie.session.closed,178.128.52.124,,,,e3fc9db28ebf,,,,,Connection lost after 2 seconds,localhost,2024-10-06T19:32:10.751220Z
cowrie.session.connect,178.128.52.124,56334,172.233.154.19,2222,e103bbdd6e7e,ssh,,,,New connection: 178.128.52.124:56334 (172.233.154.19:2222) [session: e103bbdd6e7e],localhost,2024-10-06T19:32:10.918127Z
cowrie.client.version,178.128.52.124,,,,e103bbdd6e7e,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:32:10.918783Z
cowrie.client.kex,178.128.52.124,,,,e103bbdd6e7e,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:32:11.102450Z
cowrie.login.success,178.128.52.124,,,,e103bbdd6e7e,,,,,login attempt [root/3245gs5662d34] succeeded,localhost,2024-10-06T19:32:11.878433Z
cowrie.session.closed,178.128.52.124,,,,ad9330021590,,,,,Connection lost after 5 seconds,localhost,2024-10-06T19:32:12.059707Z
cowrie.session.closed,178.128.52.124,,,,e103bbdd6e7e,,,,,Connection lost after 1 seconds,localhost,2024-10-06T19:32:12.063021Z
cowrie.session.connect,101.35.252.142,56212,172.233.154.19,2222,62853e584aa5,ssh,,,,New connection: 101.35.252.142:56212 (172.233.154.19:2222) [session: 62853e584aa5],localhost,2024-10-06T19:32:12.814394Z
cowrie.client.version,101.35.252.142,,,,62853e584aa5,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:32:12.815125Z
cowrie.client.kex,101.35.252.142,,,,62853e584aa5,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:32:12.949506Z
cowrie.login.failed,101.35.252.142,,,,62853e584aa5,,,,,login attempt [server/123] failed,localhost,2024-10-06T19:32:13.527583Z
cowrie.session.closed,101.35.252.142,,,,62853e584aa5,,,,,Connection lost after 1 seconds,localhost,2024-10-06T19:32:14.667886Z
cowrie.session.connect,14.225.210.238,60566,172.233.154.19,2222,f30b41b718d8,ssh,,,,New connection: 14.225.210.238:60566 (172.233.154.19:2222) [session: f30b41b718d8],localhost,2024-10-06T19:33:27.455127Z
cowrie.client.version,14.225.210.238,,,,f30b41b718d8,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:33:27.455924Z
cowrie.client.kex,14.225.210.238,,,,f30b41b718d8,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:33:27.669832Z
cowrie.login.failed,14.225.210.238,,,,f30b41b718d8,,,,,login attempt [oracle/oraclepassword] failed,localhost,2024-10-06T19:33:28.568570Z
cowrie.session.closed,14.225.210.238,,,,f30b41b718d8,,,,,Connection lost after 2 seconds,localhost,2024-10-06T19:33:30.444119Z
cowrie.session.connect,122.3.192.83,25524,172.233.154.19,2222,8f3baa167b43,ssh,,,,New connection: 122.3.192.83:25524 (172.233.154.19:2222) [session: 8f3baa167b43],localhost,2024-10-06T19:33:32.804175Z
cowrie.client.version,122.3.192.83,,,,8f3baa167b43,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:33:32.805453Z
cowrie.client.kex,122.3.192.83,,,,8f3baa167b43,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:33:32.981234Z
cowrie.login.failed,122.3.192.83,,,,8f3baa167b43,,,,,login attempt [ftpuser/ftpuserpassword] failed,localhost,2024-10-06T19:33:33.721629Z
cowrie.session.closed,122.3.192.83,,,,8f3baa167b43,,,,,Connection lost after 2 seconds,localhost,2024-10-06T19:33:34.898337Z
cowrie.session.connect,101.35.252.142,47386,172.233.154.19,2222,1916fe0f3cb5,ssh,,,,New connection: 101.35.252.142:47386 (172.233.154.19:2222) [session: 1916fe0f3cb5],localhost,2024-10-06T19:33:48.966988Z
cowrie.client.version,101.35.252.142,,,,1916fe0f3cb5,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:33:48.967718Z
cowrie.client.kex,101.35.252.142,,,,1916fe0f3cb5,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:33:49.103427Z
cowrie.login.failed,101.35.252.142,,,,1916fe0f3cb5,,,,,login attempt [postgres/postgrespassword] failed,localhost,2024-10-06T19:33:49.686958Z
cowrie.session.closed,101.35.252.142,,,,1916fe0f3cb5,,,,,Connection lost after 1 seconds,localhost,2024-10-06T19:33:50.825034Z
cowrie.session.connect,101.91.162.18,41338,172.233.154.19,2222,31ba059f1b7a,ssh,,,,New connection: 101.91.162.18:41338 (172.233.154.19:2222) [session: 31ba059f1b7a],localhost,2024-10-06T19:33:51.779376Z
cowrie.client.version,101.91.162.18,,,,31ba059f1b7a,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:33:51.780365Z
cowrie.client.kex,101.91.162.18,,,,31ba059f1b7a,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:33:51.929652Z
cowrie.login.failed,101.91.162.18,,,,31ba059f1b7a,,,,,login attempt [postgres/postgrespassword] failed,localhost,2024-10-06T19:33:52.547407Z
cowrie.session.closed,101.91.162.18,,,,31ba059f1b7a,,,,,Connection lost after 1 seconds,localhost,2024-10-06T19:33:53.695364Z
cowrie.session.connect,121.14.12.136,42220,172.233.154.19,2222,ba24ad90ec32,ssh,,,,New connection: 121.14.12.136:42220 (172.233.154.19:2222) [session: ba24ad90ec32],localhost,2024-10-06T19:33:54.795319Z
cowrie.client.version,121.14.12.136,,,,ba24ad90ec32,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:33:54.803891Z
